id,language,sentence,tokenized_sentence,expression,category,indices
3703,tr,Farkını ortaya koy.,"['Farkını', 'ortaya', 'koy', '.']",ortaya koymak,idiomatic,"[1, 2]"
3704,tr,Sayma alıştırması yapmak için misketleri yere döktük,"['Sayma', 'alıştırması', 'yapmak', 'için', 'misketleri', 'yere', 'döktük']",sayıp dökmek,literal,[-1]
3705,tr,El uzatıp gönül açma kimseye.,"['El', 'uzatıp', 'gönül', 'açma', 'kimseye', '.']",el açmak,literal,[-1]
3706,tr,Çiçek dikerken köklere parmağınla hafifçe bastırmalısın,"['Çiçek', 'dikerken', 'köklere', 'parmağınla', 'hafifçe', 'bastırmalısın']",parmak basmak,literal,[-1]
3707,tr,Evin basamaklarının temiz bir işçilikle yapılması çok önemli.,"['Evin', 'basamaklarının', 'temiz', 'bir', 'işçilikle', 'yapılması', 'çok', 'önemli', '.']",basamak yapmak,literal,[-1]
3708,tr,Onların karşıya geçmesi bana zaman kazandırmıştı.,"['Onların', 'karşıya', 'geçmesi', 'bana', 'zaman', 'kazandırmıştı', '.']",zaman kazanmak,idiomatic,"[4, 5]"
3709,tr,Kütüphanenin üst raflarına çıkıp bakarsan orjinal birçok kaynağa erişebilirsin,"['Kütüphanenin', 'üst', 'raflarına', 'çıkıp', 'bakarsan', 'orjinal', 'birçok', 'kaynağa', 'erişebilirsin']",üste çıkmak,literal,[-1]
3710,tr,Silah sesi gelince meydandaki tüm kuşlar sustu.,"['Silah', 'sesi', 'gelince', 'meydandaki', 'tüm', 'kuşlar', 'sustu', '.']",meydana gelmek,literal,[-1]
3711,tr,Köyünden iki dönümlük bir yer aldı.,"['Köyünden', 'iki', 'dönümlük', 'bir', 'yer', 'aldı', '.']",yer almak,literal,[-1]
3712,tr,Gelir gider hesabınızı duzenli olarak tutup raporunu üst yönetime vereceksiniz,"['Gelir', 'gider', 'hesabınızı', 'duzenli', 'olarak', 'tutup', 'raporunu', 'üst', 'yönetime', 'vereceksiniz']",hesap vermek,literal,[-1]
3713,tr,Kardeşim bugün bana yaptıkları için hesap verdi,"['Kardeşim', 'bugün', 'bana', 'yaptıkları', 'için', 'hesap', 'verdi']",hesap vermek,idiomatic,"[5, 6]"
3714,tr,"Tartışma programları bana tat vermiyor, bazen sadece karşı çıkmak için konuşuyor taraflar.","['Tartışma', 'programları', 'bana', 'tat', 'vermiyor', ',', 'bazen', 'sadece', 'karşı', 'çıkmak', 'için', 'konuşuyor', 'taraflar', '.']",karşı çıkmak,idiomatic,"[8, 9]"
3715,tr,Sıralamada kaçıncı olduğunu saymaya çalışırken elindeki çayı yere döktü,"['Sıralamada', 'kaçıncı', 'olduğunu', 'saymaya', 'çalışırken', 'elindeki', 'çayı', 'yere', 'döktü']",sayıp dökmek,literal,[-1]
3716,tr,Elini açmış harçlık bekliyor,"['Elini', 'açmış', 'harçlık', 'bekliyor']",el açmak,literal,[-1]
3717,tr,Yedi dakikada vapurdaki yerimi almalıyım.,"['Yedi', 'dakikada', 'vapurdaki', 'yerimi', 'almalıyım', '.']",yer almak,idiomatic,"[3, 4]"
3718,tr,Kalbimi kazanmak için çok zaman kaybettin.,"['Kalbimi', 'kazanmak', 'için', 'çok', 'zaman', 'kaybettin', '.']",zaman kazanmak,literal,[-1]
3719,tr,Saçın ortasına çiçek koydum,"['Saçın', 'ortasına', 'çiçek', 'koydum']",ortaya koymak,literal,[-1]
3720,tr,Yaptırın şu basamakları bir ustaya.,"['Yaptırın', 'şu', 'basamakları', 'bir', 'ustaya', '.']",basamak yapmak,literal,[-1]
3721,tr,Sabah defterimi silmeyi unuttuğum için öğretmenim çok kızdı.,"['Sabah', 'defterimi', 'silmeyi', 'unuttuğum', 'için', 'öğretmenim', 'çok', 'kızdı', '.']",defterden silmek,literal,[-1]
3722,tr,Martılar ağzına aldığı simitleri çatının üstüne taşıyor,"['Martılar', 'ağzına', 'aldığı', 'simitleri', 'çatının', 'üstüne', 'taşıyor']",üstüne almak,literal,[-1]
3723,tr,Uzun bir süre defterden silmiş bizi.,"['Uzun', 'bir', 'süre', 'defterden', 'silmiş', 'bizi', '.']",defterden silmek,idiomatic,"[3, 4]"
3724,tr,Altını çizerek söylüyorum ki iyi dinleyin.,"['Altını', 'çizerek', 'söylüyorum', 'ki', 'iyi', 'dinleyin', '.']",altını çizmek,idiomatic,"[0, 1]"
3725,tr,Bu sorunlar karşısında sıkı durmak zorundasın!,"['Bu', 'sorunlar', 'karşısında', 'sıkı', 'durmak', 'zorundasın', '!']",sıkı durmak,idiomatic,"[3, 4]"
3726,tr,Corona virüsü kapan ayvayı yer.,"['Corona', 'virüsü', 'kapan', 'ayvayı', 'yer', '.']",ayvayı yemek,idiomatic,"[3, 4]"
3727,tr,Tüm hesaplarımın düzenleme yetkisini sana verdim.,"['Tüm', 'hesaplarımın', 'düzenleme', 'yetkisini', 'sana', 'verdim', '.']",hesap vermek,literal,[-1]
3728,tr,Ele alacağımız konuları haftalar öncesinden belirliyoruz.,"['Ele', 'alacağımız', 'konuları', 'haftalar', 'öncesinden', 'belirliyoruz', '.']",ele almak,idiomatic,"[0, 1]"
3729,tr,Öğretmenlerin onlarca çocuğun sorumluluğunu üstüne alması gerçekten muazzam bir fedakarlık,"['Öğretmenlerin', 'onlarca', 'çocuğun', 'sorumluluğunu', 'üstüne', 'alması', 'gerçekten', 'muazzam', 'bir', 'fedakarlık']",üstüne almak,idiomatic,"[4, 5]"
3730,tr,Galatasaray'daki kötü gidişatın hesabını Cengiz yönetimi verecek.,"[""Galatasaray'daki"", 'kötü', 'gidişatın', 'hesabını', 'Cengiz', 'yönetimi', 'verecek', '.']",hesap vermek,literal,[-1]
3731,tr,Terfi edebilmek için beni basamak yaptı.,"['Terfi', 'edebilmek', 'için', 'beni', 'basamak', 'yaptı', '.']",basamak yapmak,literal,[-1]
3732,tr,onu defterden silmek bu kadar zor olmamalı,"['onu', 'defterden', 'silmek', 'bu', 'kadar', 'zor', 'olmamalı']",defterden silmek,idiomatic,"[1, 2]"
3733,tr,Önümüzdeki dönem yazılım geliştirme konusuna ağırlık mı versek?,"['Önümüzdeki', 'dönem', 'yazılım', 'geliştirme', 'konusuna', 'ağırlık', 'mı', 'versek', '?']",ağırlık vermek,idiomatic,"[5, 7]"
3734,tr,"Bu meyvelerin içleri erimiş, yenmez bunlar, doğru meyve suyu fabrikasına.","['Bu', 'meyvelerin', 'içleri', 'erimiş', ',', 'yenmez', 'bunlar', ',', 'doğru', 'meyve', 'suyu', 'fabrikasına', '.']",içi erimek,literal,[-1]
3735,tr,Bütün görevleri üstüme aldım.,"['Bütün', 'görevleri', 'üstüme', 'aldım', '.']",üstüne almak,idiomatic,"[2, 3]"
3736,tr,Ellerimde soğuktan çatlaklar açıldı.,"['Ellerimde', 'soğuktan', 'çatlaklar', 'açıldı', '.']",el açmak,literal,[-1]
3737,tr,Ağzından çıkan o kötü sözleri karşı apatman bile duydu!,"['Ağzından', 'çıkan', 'o', 'kötü', 'sözleri', 'karşı', 'apatman', 'bile', 'duydu', '!']",karşı çıkmak,literal,[-1]
3738,tr,Bu kalemleri sıkı sıkı durdurup kutusuna koyar mısın?,"['Bu', 'kalemleri', 'sıkı', 'sıkı', 'durdurup', 'kutusuna', 'koyar', 'mısın', '?']",sıkı durmak,literal,[-1]
3739,tr,sen gülünce gönlümde ferahlık meydana geldi.,"['sen', 'gülünce', 'gönlümde', 'ferahlık', 'meydana', 'geldi', '.']",meydana gelmek,idiomatic,"[4, 5]"
3740,tr,Bu işe göz yumarsan bundan sonra hiçbir şeyin önünü alamazsın.,"['Bu', 'işe', 'göz', 'yumarsan', 'bundan', 'sonra', 'hiçbir', 'şeyin', 'önünü', 'alamazsın', '.']",göz yummak,idiomatic,"[2, 3]"
3741,tr,Yeni kariyerine ilk adımını attı.,"['Yeni', 'kariyerine', 'ilk', 'adımını', 'attı', '.']",adım atmak,idiomatic,"[3, 4]"
3742,tr,Elinize aldığınız kitap bana dedemden hatıradır.,"['Elinize', 'aldığınız', 'kitap', 'bana', 'dedemden', 'hatıradır', '.']",ele almak,literal,[-1]
3743,tr,Aşk hayatınıza ağırlık verdiğiniz bir döneme gireceksiniz.,"['Aşk', 'hayatınıza', 'ağırlık', 'verdiğiniz', 'bir', 'döneme', 'gireceksiniz', '.']",ağırlık vermek,idiomatic,"[2, 3]"
3744,tr,Projeye artık ağırlık versek mi?,"['Projeye', 'artık', 'ağırlık', 'versek', 'mi', '?']",ağırlık vermek,idiomatic,"[2, 3]"
3745,tr,Yoksul çocuklar yaşlı adamın içini eritti,"['Yoksul', 'çocuklar', 'yaşlı', 'adamın', 'içini', 'eritti']",içi erimek,idiomatic,"[4, 5]"
3746,tr,Üst üste aldığı iki arabada bozuk çıktı,"['Üst', 'üste', 'aldığı', 'iki', 'arabada', 'bozuk', 'çıktı']",üstüne almak,literal,[-1]
3747,tr,Bakanlar kurulunda yer almayacağını açıkladı.,"['Bakanlar', 'kurulunda', 'yer', 'almayacağını', 'açıkladı', '.']",yer almak,idiomatic,"[2, 3]"
3748,tr,Ortaya ne mi koyacağız: yüreğimizi.,"['Ortaya', 'ne', 'mi', 'koyacağız', ':', 'yüreğimizi', '.']",ortaya koymak,idiomatic,"[0, 3]"
3749,tr,Sen hiç mi tek ayak üzerinde durmadın,"['Sen', 'hiç', 'mi', 'tek', 'ayak', 'üzerinde', 'durmadın']",üzerinde durmak,literal,[-1]
3750,tr,İçim eridi sözlerinden üzme beni artık.,"['İçim', 'eridi', 'sözlerinden', 'üzme', 'beni', 'artık', '.']",içi erimek,idiomatic,"[0, 1]"
3751,tr,Boyayı elindeki tahta parçasının önüne ve arkasına sürdükten sonra kurumaya bıraktı.,"['Boyayı', 'elindeki', 'tahta', 'parçasının', 'önüne', 've', 'arkasına', 'sürdükten', 'sonra', 'kurumaya', 'bıraktı', '.']",öne sürmek,literal,[-1]
3752,tr,Topun taca çıktığını hakem karşıdan göremedi.,"['Topun', 'taca', 'çıktığını', 'hakem', 'karşıdan', 'göremedi', '.']",karşı çıkmak,literal,[-1]
3753,tr,Patilerini ıslatan ve temizlik yapılmış evin her köşesinde ıslak pati izlerini bırakan mırmır galiba gerçekten bir ruh hastası,"['Patilerini', 'ıslatan', 've', 'temizlik', 'yapılmış', 'evin', 'her', 'köşesinde', 'ıslak', 'pati', 'izlerini', 'bırakan', 'mırmır', 'galiba', 'gerçekten', 'bir', 'ruh', 'hastası']",iz bırakmak,literal,[-1]
3754,tr,Hesap şifresini verir misin?,"['Hesap', 'şifresini', 'verir', 'misin', '?']",hesap vermek,literal,[-1]
3755,tr,"Defteri sil, kitabı yırt, bu çocuk hayta oluyor bey!","['Defteri', 'sil', ',', 'kitabı', 'yırt', ',', 'bu', 'çocuk', 'hayta', 'oluyor', 'bey', '!']",defterden silmek,literal,[-1]
3756,tr,"Bu yazıda; mahkemelerin, kovuşturma aşamasında ortaya koyulması istenen deliller hakkında karar verirken, izlemesi gereken usul incelenecektir.","['Bu', 'yazıda', ';', 'mahkemelerin', ',', 'kovuşturma', 'aşamasında', 'ortaya', 'koyulması', 'istenen', 'deliller', 'hakkında', 'karar', 'verirken', ',', 'izlemesi', 'gereken', 'usul', 'incelenecektir', '.']",ortaya koymak,idiomatic,"[7, 8]"
3757,tr,Şu buzlar erisin de suyu alıp kabın içini tekrar buzla doldururuz.,"['Şu', 'buzlar', 'erisin', 'de', 'suyu', 'alıp', 'kabın', 'içini', 'tekrar', 'buzla', 'doldururuz', '.']",içi erimek,literal,[-1]
3758,tr,Üzerinde durdukları kolonu yıkmaya çalıştı.,"['Üzerinde', 'durdukları', 'kolonu', 'yıkmaya', 'çalıştı', '.']",üzerinde durmak,literal,[-1]
3759,tr,Bu kelimelerin altını neden çizdiğini açıklar mısın?,"['Bu', 'kelimelerin', 'altını', 'neden', 'çizdiğini', 'açıklar', 'mısın', '?']",altını çizmek,literal,[-1]
3760,tr,Düelloda karşıma kim çıkmak ister?,"['Düelloda', 'karşıma', 'kim', 'çıkmak', 'ister', '?']",karşı çıkmak,literal,[-1]
3761,tr,Oynamak istediğiniz başka roller var mı?,"['Oynamak', 'istediğiniz', 'başka', 'roller', 'var', 'mı', '?']",rol oynamak,literal,[-1]
3762,tr,Elinde bilgi olan ortaya koysun.,"['Elinde', 'bilgi', 'olan', 'ortaya', 'koysun', '.']",ortaya koymak,idiomatic,"[3, 4]"
3763,tr,Meydana gelen sel felaketi birçok ailenin canını yaktı,"['Meydana', 'gelen', 'sel', 'felaketi', 'birçok', 'ailenin', 'canını', 'yaktı']",meydana gelmek,idiomatic,"[0, 1]"
3764,tr,Zaman zaman ilaçlama yapıp bu böcekleri öldürmek gerek.,"['Zaman', 'zaman', 'ilaçlama', 'yapıp', 'bu', 'böcekleri', 'öldürmek', 'gerek', '.']",zaman öldürmek,literal,[-1]
3765,tr,Borç içinde kalınca elimizi kime açacağımızı şaşırdık.,"['Borç', 'içinde', 'kalınca', 'elimizi', 'kime', 'açacağımızı', 'şaşırdık', '.']",el açmak,idiomatic,"[3, 5]"
3766,tr,Aldığı tüm kurslar konuları üstün körü anlatıyordu.,"['Aldığı', 'tüm', 'kurslar', 'konuları', 'üstün', 'körü', 'anlatıyordu', '.']",üstüne almak,literal,[-1]
3767,tr,Beşinci günün şafağına kadar sıkı durun ve şafakta doğuya bakın.,"['Beşinci', 'günün', 'şafağına', 'kadar', 'sıkı', 'durun', 've', 'şafakta', 'doğuya', 'bakın', '.']",sıkı durmak,idiomatic,"[4, 5]"
3768,tr,Her şeyi millete yetiştirirsen ağzı sıkı duracağına nasıl inanayım?,"['Her', 'şeyi', 'millete', 'yetiştirirsen', 'ağzı', 'sıkı', 'duracağına', 'nasıl', 'inanayım', '?']",sıkı durmak,literal,[-1]
3769,tr,Hasta adam bardağı tutabilmek için elini açmaya çalıştı.,"['Hasta', 'adam', 'bardağı', 'tutabilmek', 'için', 'elini', 'açmaya', 'çalıştı', '.']",el açmak,literal,[-1]
3770,tr,Kendilerine Göre Şartlar Öne Sürme!,"['Kendilerine', 'Göre', 'Şartlar', 'Öne', 'Sürme', '!']",öne sürmek,idiomatic,"[3, 4]"
3771,tr,Kardeşim ödevimi hazırladığım defterdeki bütün sayfaları silmiş.,"['Kardeşim', 'ödevimi', 'hazırladığım', 'defterdeki', 'bütün', 'sayfaları', 'silmiş', '.']",defterden silmek,literal,[-1]
3772,tr,"Herkesin içinde ortaya çıkıp, yüksek sesle konuştu.","['Herkesin', 'içinde', 'ortaya', 'çıkıp', ',', 'yüksek', 'sesle', 'konuştu', '.']",ortaya çıkmak,literal,[-1]
3773,tr,Sana hesap vermek zorunda değilim.,"['Sana', 'hesap', 'vermek', 'zorunda', 'değilim', '.']",hesap vermek,idiomatic,"[1, 2]"
3774,tr,Onların ailece korona olduğunu duyunca içim eridi.,"['Onların', 'ailece', 'korona', 'olduğunu', 'duyunca', 'içim', 'eridi', '.']",içi erimek,idiomatic,"[5, 6]"
3775,tr,"ben yanındayken sıkı durmasan da olur, duygularını açığa cıkar","['ben', 'yanındayken', 'sıkı', 'durmasan', 'da', 'olur', ',', 'duygularını', 'açığa', 'cıkar']",sıkı durmak,idiomatic,"[2, 3]"
3776,tr,İntikam zamanı geldiği gün onları öldürmek için ben karşılarına çıkacağım,"['İntikam', 'zamanı', 'geldiği', 'gün', 'onları', 'öldürmek', 'için', 'ben', 'karşılarına', 'çıkacağım']",zaman öldürmek,literal,[-1]
3777,tr,Sağa sola el açamam ben.,"['Sağa', 'sola', 'el', 'açamam', 'ben', '.']",el açmak,idiomatic,"[2, 3]"
3778,tr,Köleleri basamak yapıp kendini zenginleştiren kesimin özgürlükçü söylemlerine gülüyorum.,"['Köleleri', 'basamak', 'yapıp', 'kendini', 'zenginleştiren', 'kesimin', 'özgürlükçü', 'söylemlerine', 'gülüyorum', '.']",basamak yapmak,idiomatic,"[1, 2]"
3779,tr,İleri sürülenleri dikkatlice dinledim ve karar verdim.,"['İleri', 'sürülenleri', 'dikkatlice', 'dinledim', 've', 'karar', 'verdim', '.']",ileri sürmek,idiomatic,"[0, 1]"
3780,tr,Yılların sessiz çığlıkları pandemiyle su üstüne çıktı.,"['Yılların', 'sessiz', 'çığlıkları', 'pandemiyle', 'su', 'üstüne', 'çıktı', '.']",üste çıkmak,idiomatic,"[5, 6]"
3781,tr,2 kat puan kazanmak için zamanım giderek azalıyor.,"['2', 'kat', 'puan', 'kazanmak', 'için', 'zamanım', 'giderek', 'azalıyor', '.']",zaman kazanmak,literal,[-1]
3782,tr,Üste neden hep onlar çıkıyor hiç düşündün mü?,"['Üste', 'neden', 'hep', 'onlar', 'çıkıyor', 'hiç', 'düşündün', 'mü', '?']",üste çıkmak,idiomatic,"[0, 4]"
3783,tr,Yıkatığı çamaşırları askının üstüne attı.,"['Yıkatığı', 'çamaşırları', 'askının', 'üstüne', 'attı', '.']",üstünden atmak,literal,[-1]
3784,tr,Yeni evimi yapmak için yer aldım.,"['Yeni', 'evimi', 'yapmak', 'için', 'yer', 'aldım', '.']",yer almak,literal,[-1]
3785,tr,Zeytinyağı gibi üste çıkıyor.,"['Zeytinyağı', 'gibi', 'üste', 'çıkıyor', '.']",üste çıkmak,idiomatic,"[2, 3]"
3786,tr,Bu şirketin kurucuları arasında ben de yer aldım.,"['Bu', 'şirketin', 'kurucuları', 'arasında', 'ben', 'de', 'yer', 'aldım', '.']",yer almak,idiomatic,"[6, 7]"
3787,tr,Salona girdiğimde seyirciler yeni yeni yerlerini alıyordu.,"['Salona', 'girdiğimde', 'seyirciler', 'yeni', 'yeni', 'yerlerini', 'alıyordu', '.']",yer almak,literal,[-1]
3788,tr,İnandığın doğruların arkasında dur ve karşı çıkanlara boyun eğme!,"['İnandığın', 'doğruların', 'arkasında', 'dur', 've', 'karşı', 'çıkanlara', 'boyun', 'eğme', '!']",karşı çıkmak,idiomatic,"[5, 6]"
3789,tr,"Ben nereye gideyim, kime el açayım sen söyle ?","['Ben', 'nereye', 'gideyim', ',', 'kime', 'el', 'açayım', 'sen', 'söyle', '?']",el açmak,idiomatic,"[5, 6]"
3790,tr,Bilekliğindeki boncuklar yerlere dökülünce küçük kız heyecanla yerdeki boncukları saymaya başladı,"['Bilekliğindeki', 'boncuklar', 'yerlere', 'dökülünce', 'küçük', 'kız', 'heyecanla', 'yerdeki', 'boncukları', 'saymaya', 'başladı']",sayıp dökmek,literal,[-1]
3791,tr,Tıkanan damarında yol açmak için stent taktılar.,"['Tıkanan', 'damarında', 'yol', 'açmak', 'için', 'stent', 'taktılar', '.']",yol açmak,literal,[-1]
3792,tr,Almasana  üstüne ya bu işi de başkası yapsın,"['Almasana', 'üstüne', 'ya', 'bu', 'işi', 'de', 'başkası', 'yapsın']",üstüne almak,idiomatic,"[1, 0]"
3793,tr,Yapılan basamakların kalitesini nasıl buldun?,"['Yapılan', 'basamakların', 'kalitesini', 'nasıl', 'buldun', '?']",basamak yapmak,literal,[-1]
3794,tr,Bunun hesabını ben şimdi nasıl vereceğim?,"['Bunun', 'hesabını', 'ben', 'şimdi', 'nasıl', 'vereceğim', '?']",hesap vermek,idiomatic,"[1, 5]"
3795,tr,Bütün suçu üstüne aldın da ne oldu?,"['Bütün', 'suçu', 'üstüne', 'aldın', 'da', 'ne', 'oldu', '?']",üstüne almak,idiomatic,"[2, 3]"
3796,tr,Ortaya attığı fikirlerin hiçbirini değerlendirmedi.,"['Ortaya', 'attığı', 'fikirlerin', 'hiçbirini', 'değerlendirmedi', '.']",ortaya atmak,idiomatic,"[0, 1]"
3797,tr,sıkı sarıldık diye küsüp durma,"['sıkı', 'sarıldık', 'diye', 'küsüp', 'durma']",sıkı durmak,literal,[-1]
3798,tr,Ekonominin kurtuluşu için yeni sistemler öne sürdüler,"['Ekonominin', 'kurtuluşu', 'için', 'yeni', 'sistemler', 'öne', 'sürdüler']",öne sürmek,idiomatic,"[5, 6]"
3799,tr,Parmak bastığı konuyu kimse önemsemedi,"['Parmak', 'bastığı', 'konuyu', 'kimse', 'önemsemedi']",parmak basmak,idiomatic,"[0, 1]"
3800,tr,torbaları sayarken yere döktü,"['torbaları', 'sayarken', 'yere', 'döktü']",sayıp dökmek,literal,[-1]
3801,tr,duvar kaplaması yaparken kenarları parmakları ile bastırarak yapıştırdı,"['duvar', 'kaplaması', 'yaparken', 'kenarları', 'parmakları', 'ile', 'bastırarak', 'yapıştırdı']",parmak basmak,literal,[-1]
3802,tr,Ayva rehçeli mi erik rehçeli mi yersin?,"['Ayva', 'rehçeli', 'mi', 'erik', 'rehçeli', 'mi', 'yersin', '?']",ayvayı yemek,literal,[-1]
3803,tr,Kendi yerimi bir başkasına vermek istemiyorum.,"['Kendi', 'yerimi', 'bir', 'başkasına', 'vermek', 'istemiyorum', '.']",yer vermek,literal,[-1]
3804,tr,İçleri eritilmiş peynirler istiyorum senden.,"['İçleri', 'eritilmiş', 'peynirler', 'istiyorum', 'senden', '.']",içi erimek,literal,[-1]
3805,tr,Yaptıkların yüzünden hesap vereceksin,"['Yaptıkların', 'yüzünden', 'hesap', 'vereceksin']",hesap vermek,idiomatic,"[2, 3]"
3806,tr,Hayvanın iç yağları eritilir ve kebap döner gibi yiyeceklerin yapımında kullanılır.,"['Hayvanın', 'iç', 'yağları', 'eritilir', 've', 'kebap', 'döner', 'gibi', 'yiyeceklerin', 'yapımında', 'kullanılır', '.']",içi erimek,literal,[-1]
3807,tr,Taşınırken masamın altı çizilmiş.,"['Taşınırken', 'masamın', 'altı', 'çizilmiş', '.']",altını çizmek,literal,[-1]
3808,tr,A bugünkü haberde sana da mı yer vermişler?,"['A', 'bugünkü', 'haberde', 'sana', 'da', 'mı', 'yer', 'vermişler', '?']",yer vermek,idiomatic,"[6, 7]"
3809,tr,Yapay zekanın alanında Türkçe kaynak üretilmesinde oynadığımız rol büyük.,"['Yapay', 'zekanın', 'alanında', 'Türkçe', 'kaynak', 'üretilmesinde', 'oynadığımız', 'rol', 'büyük', '.']",rol oynamak,idiomatic,"[7, 6]"
3810,tr,Müdür derse zamanında gelmeyen öğrencisini öldürdü,"['Müdür', 'derse', 'zamanında', 'gelmeyen', 'öğrencisini', 'öldürdü']",zaman öldürmek,literal,[-1]
3811,tr,Karşıma bunları söylemek için mi çıktın?,"['Karşıma', 'bunları', 'söylemek', 'için', 'mi', 'çıktın', '?']",karşı çıkmak,literal,[-1]
3812,tr,Sigara içmek çalışanların hem zamanını hem de hücrelerini öldürüyor.,"['Sigara', 'içmek', 'çalışanların', 'hem', 'zamanını', 'hem', 'de', 'hücrelerini', 'öldürüyor', '.']",zaman öldürmek,idiomatic,"[4, 8]"
3813,tr,Pandeminin yayılmasına yol açan en önemli unsurun mesafe ve hijyen olduğu açıklandı.,"['Pandeminin', 'yayılmasına', 'yol', 'açan', 'en', 'önemli', 'unsurun', 'mesafe', 've', 'hijyen', 'olduğu', 'açıklandı', '.']",yol açmak,idiomatic,"[2, 3]"
3814,tr,Hoca derste bu konuya ağırlık verdi,"['Hoca', 'derste', 'bu', 'konuya', 'ağırlık', 'verdi']",ağırlık vermek,idiomatic,"[4, 5]"
3815,tr,Karşı komşu bana sert çıktı,"['Karşı', 'komşu', 'bana', 'sert', 'çıktı']",karşı çıkmak,literal,[-1]
3816,tr,Zaman zaman aldığım geç kararlar onu öldürdü,"['Zaman', 'zaman', 'aldığım', 'geç', 'kararlar', 'onu', 'öldürdü']",zaman öldürmek,literal,[-1]
3817,tr,meydanı araç trafiğine kapatmak için polisler geldiler bile.,"['meydanı', 'araç', 'trafiğine', 'kapatmak', 'için', 'polisler', 'geldiler', 'bile', '.']",meydana gelmek,literal,[-1]
3818,tr,Paranın üstüne su döktüğü için hiçbir şey alamadı,"['Paranın', 'üstüne', 'su', 'döktüğü', 'için', 'hiçbir', 'şey', 'alamadı']",üstüne almak,literal,[-1]
3819,tr,Yarışı yağmur yağdığı zaman kazanmamız daha kolay olur.,"['Yarışı', 'yağmur', 'yağdığı', 'zaman', 'kazanmamız', 'daha', 'kolay', 'olur', '.']",zaman kazanmak,literal,[-1]
3820,tr,Bu uygulamayı gelistiren yazılım ekibinde yer aldım,"['Bu', 'uygulamayı', 'gelistiren', 'yazılım', 'ekibinde', 'yer', 'aldım']",yer almak,idiomatic,"[5, 6]"
3821,tr,Şu negatifliğini üstünden at canım!,"['Şu', 'negatifliğini', 'üstünden', 'at', 'canım', '!']",üstünden atmak,idiomatic,"[2, 3]"
3822,tr,Koy ortaya çıksın dışarı.,"['Koy', 'ortaya', 'çıksın', 'dışarı', '.']",ortaya çıkmak,literal,[-1]
3823,tr,istanbul da büyük bir deprem meydana geldi,"['istanbul', 'da', 'büyük', 'bir', 'deprem', 'meydana', 'geldi']",meydana gelmek,idiomatic,"[5, 6]"
3824,tr,Üstüne üstlük aldığı malzemeler işe yaramıyor.,"['Üstüne', 'üstlük', 'aldığı', 'malzemeler', 'işe', 'yaramıyor', '.']",üstüne almak,literal,[-1]
3825,tr,Ben sana kurşun dökerken sen de içinden dileklerini say.,"['Ben', 'sana', 'kurşun', 'dökerken', 'sen', 'de', 'içinden', 'dileklerini', 'say', '.']",sayıp dökmek,literal,[-1]
3826,tr,Yaptığın hatalar karşı durduğun ideolojiye çıkar sağlıyor,"['Yaptığın', 'hatalar', 'karşı', 'durduğun', 'ideolojiye', 'çıkar', 'sağlıyor']",karşı çıkmak,literal,[-1]
3827,tr,Bakınız altını çizerek söylüyorum ki bu ekonomik krizi atlatmazsak halimiz duman.,"['Bakınız', 'altını', 'çizerek', 'söylüyorum', 'ki', 'bu', 'ekonomik', 'krizi', 'atlatmazsak', 'halimiz', 'duman', '.']",altını çizmek,idiomatic,"[1, 2]"
3828,tr,"Sahi, bana ayvayı nasıl yediğinizi anlatsanıza?","['Sahi', ',', 'bana', 'ayvayı', 'nasıl', 'yediğinizi', 'anlatsanıza', '?']",ayvayı yemek,idiomatic,"[3, 5]"
3829,tr,"Mesele benim ayvayı yemiş olmam değil, senin beni ele vermen.","['Mesele', 'benim', 'ayvayı', 'yemiş', 'olmam', 'değil', ',', 'senin', 'beni', 'ele', 'vermen', '.']",ayvayı yemek,idiomatic,"[2, 3]"
3830,tr,Karşıdaki dama çıkan kediyi kim kurtaracak?,"['Karşıdaki', 'dama', 'çıkan', 'kediyi', 'kim', 'kurtaracak', '?']",karşı çıkmak,literal,[-1]
3831,tr,Tüm bunları sayıp dökme işlemine öyle başla.,"['Tüm', 'bunları', 'sayıp', 'dökme', 'işlemine', 'öyle', 'başla', '.']",sayıp dökmek,literal,[-1]
3832,tr,Üst komşum Naci kimsesiz çocuklara üst almıştı,"['Üst', 'komşum', 'Naci', 'kimsesiz', 'çocuklara', 'üst', 'almıştı']",üstüne almak,literal,[-1]
3833,tr,"Kurallara uymamak neymiş, hesabını verecek.","['Kurallara', 'uymamak', 'neymiş', ',', 'hesabını', 'verecek', '.']",hesap vermek,idiomatic,"[4, 5]"
3834,tr,Üstüne bastığın bu toprak zamanında çok kan dökülerek alındı.,"['Üstüne', 'bastığın', 'bu', 'toprak', 'zamanında', 'çok', 'kan', 'dökülerek', 'alındı', '.']",üstüne almak,literal,[-1]
3835,tr,Bu tam altı çizilesi bir konu,"['Bu', 'tam', 'altı', 'çizilesi', 'bir', 'konu']",altını çizmek,idiomatic,"[2, 3]"
3836,tr,Kötü giden ekonomi nedeniyle vatandaş ayvayı yemek üzere.,"['Kötü', 'giden', 'ekonomi', 'nedeniyle', 'vatandaş', 'ayvayı', 'yemek', 'üzere', '.']",ayvayı yemek,idiomatic,"[5, 6]"
3837,tr,Bu işi üstünden neden atmak istiyorsun ki?,"['Bu', 'işi', 'üstünden', 'neden', 'atmak', 'istiyorsun', 'ki', '?']",üstünden atmak,idiomatic,"[2, 4]"
